Область,Год,Кол-во,Округ
Белгородская_область,2013,156801,Центральный_федеральный_округ
Белгородская_область,2014,171668,Центральный_федеральный_округ
Белгородская_область,2015,151471,Центральный_федеральный_округ
Белгородская_область,2016,233033,Центральный_федеральный_округ
Белгородская_область,2017,272193,Центральный_федеральный_округ
Белгородская_область,2018,301418,Центральный_федеральный_округ
Белгородская_область,2019,313741,Центральный_федеральный_округ
Белгородская_область,2020,208642,Центральный_федеральный_округ
Брянская_область,2013,113056,Центральный_федеральный_округ
Брянская_область,2014,125824,Центральный_федеральный_округ
Брянская_область,2015,139264,Центральный_федеральный_округ
Брянская_область,2016,170861,Центральный_федеральный_округ
Брянская_область,2017,197869,Центральный_федеральный_округ
Брянская_область,2018,223783,Центральный_федеральный_округ
Брянская_область,2019,221142,Центральный_федеральный_округ
Брянская_область,2020,136956,Центральный_федеральный_округ
Владимирская_область,2013,357276,Центральный_федеральный_округ
Владимирская_область,2014,344029,Центральный_федеральный_округ
Владимирская_область,2015,535697,Центральный_федеральный_округ
Владимирская_область,2016,573172,Центральный_федеральный_округ
Владимирская_область,2017,521158,Центральный_федеральный_округ
Владимирская_область,2018,543317,Центральный_федеральный_округ
Владимирская_область,2019,581738,Центральный_федеральный_округ
Владимирская_область,2020,361577,Центральный_федеральный_округ
Воронежская_область,2013,247380,Центральный_федеральный_округ
Воронежская_область,2014,281883,Центральный_федеральный_округ
Воронежская_область,2015,497173,Центральный_федеральный_округ
Воронежская_область,2016,582147,Центральный_федеральный_округ
Воронежская_область,2017,636841,Центральный_федеральный_округ
Воронежская_область,2018,647330,Центральный_федеральный_округ
Воронежская_область,2019,645250,Центральный_федеральный_округ
Воронежская_область,2020,487604,Центральный_федеральный_округ
Ивановская_область,2013,182692,Центральный_федеральный_округ
Ивановская_область,2014,214084,Центральный_федеральный_округ
Ивановская_область,2015,222268,Центральный_федеральный_округ
Ивановская_область,2016,221842,Центральный_федеральный_округ
Ивановская_область,2017,244296,Центральный_федеральный_округ
Ивановская_область,2018,244175,Центральный_федеральный_округ
Ивановская_область,2019,258162,Центральный_федеральный_округ
Ивановская_область,2020,140759,Центральный_федеральный_округ
Калужская_область,2013,319802,Центральный_федеральный_округ
Калужская_область,2014,364022,Центральный_федеральный_округ
Калужская_область,2015,490608,Центральный_федеральный_округ
Калужская_область,2016,434028,Центральный_федеральный_округ
Калужская_область,2017,504686,Центральный_федеральный_округ
Калужская_область,2018,605580,Центральный_федеральный_округ
Калужская_область,2019,570946,Центральный_федеральный_округ
Калужская_область,2020,403383,Центральный_федеральный_округ
Костромская_область,2013,184474,Центральный_федеральный_округ
Костромская_область,2014,170768,Центральный_федеральный_округ
Костромская_область,2015,147013,Центральный_федеральный_округ
Костромская_область,2016,238057,Центральный_федеральный_округ
Костромская_область,2017,264206,Центральный_федеральный_округ
Костромская_область,2018,282822,Центральный_федеральный_округ
Костромская_область,2019,293399,Центральный_федеральный_округ
Костромская_область,2020,270378,Центральный_федеральный_округ
Курская_область,2013,118218,Центральный_федеральный_округ
Курская_область,2014,106655,Центральный_федеральный_округ
Курская_область,2015,187121,Центральный_федеральный_округ
Курская_область,2016,194613,Центральный_федеральный_округ
Курская_область,2017,192472,Центральный_федеральный_округ
Курская_область,2018,186803,Центральный_федеральный_округ
Курская_область,2019,200332,Центральный_федеральный_округ
Курская_область,2020,131619,Центральный_федеральный_округ
Липецкая_область,2013,131758,Центральный_федеральный_округ
Липецкая_область,2014,132240,Центральный_федеральный_округ
Липецкая_область,2015,145296,Центральный_федеральный_округ
Липецкая_область,2016,172367,Центральный_федеральный_округ
Липецкая_область,2017,190754,Центральный_федеральный_округ
Липецкая_область,2018,222811,Центральный_федеральный_округ
Липецкая_область,2019,260569,Центральный_федеральный_округ
Липецкая_область,2020,208200,Центральный_федеральный_округ
Московская_область,2013,2580539,Центральный_федеральный_округ
Московская_область,2014,2448176,Центральный_федеральный_округ
Московская_область,2015,3704624,Центральный_федеральный_округ
Московская_область,2016,3261347,Центральный_федеральный_округ
Московская_область,2017,3184455,Центральный_федеральный_округ
Московская_область,2018,3743773,Центральный_федеральный_округ
Московская_область,2019,4586111,Центральный_федеральный_округ
Московская_область,2020,2906713,Центральный_федеральный_округ
Орловская_область,2013,115229,Центральный_федеральный_округ
Орловская_область,2014,113930,Центральный_федеральный_округ
Орловская_область,2015,103077,Центральный_федеральный_округ
Орловская_область,2016,106027,Центральный_федеральный_округ
Орловская_область,2017,110298,Центральный_федеральный_округ
Орловская_область,2018,122994,Центральный_федеральный_округ
Орловская_область,2019,124656,Центральный_федеральный_округ
Орловская_область,2020,85816,Центральный_федеральный_округ
Рязанская_область,2013,189005,Центральный_федеральный_округ
Рязанская_область,2014,194162,Центральный_федеральный_округ
Рязанская_область,2015,248128,Центральный_федеральный_округ
Рязанская_область,2016,331050,Центральный_федеральный_округ
Рязанская_область,2017,395807,Центральный_федеральный_округ
Рязанская_область,2018,349016,Центральный_федеральный_округ
Рязанская_область,2019,391507,Центральный_федеральный_округ
Рязанская_область,2020,317710,Центральный_федеральный_округ
Смоленская_область,2013,164103,Центральный_федеральный_округ
Смоленская_область,2014,171004,Центральный_федеральный_округ
Смоленская_область,2015,169199,Центральный_федеральный_округ
Смоленская_область,2016,201208,Центральный_федеральный_округ
Смоленская_область,2017,210044,Центральный_федеральный_округ
Смоленская_область,2018,210398,Центральный_федеральный_округ
Смоленская_область,2019,226817,Центральный_федеральный_округ
Смоленская_область,2020,141477,Центральный_федеральный_округ
Тамбовская_область,2013,99045,Центральный_федеральный_округ
Тамбовская_область,2014,109036,Центральный_федеральный_округ
Тамбовская_область,2015,166698,Центральный_федеральный_округ
Тамбовская_область,2016,137625,Центральный_федеральный_округ
Тамбовская_область,2017,170530,Центральный_федеральный_округ
Тамбовская_область,2018,191705,Центральный_федеральный_округ
Тамбовская_область,2019,178621,Центральный_федеральный_округ
Тамбовская_область,2020,122688,Центральный_федеральный_округ
Тверская_область,2013,321588,Центральный_федеральный_округ
Тверская_область,2014,311499,Центральный_федеральный_округ
Тверская_область,2015,352042,Центральный_федеральный_округ
Тверская_область,2016,409095,Центральный_федеральный_округ
Тверская_область,2017,517374,Центральный_федеральный_округ
Тверская_область,2018,531483,Центральный_федеральный_округ
Тверская_область,2019,555510,Центральный_федеральный_округ
Тверская_область,2020,479315,Центральный_федеральный_округ
Тульская_область,2013,208619,Центральный_федеральный_округ
Тульская_область,2014,236478,Центральный_федеральный_округ
Тульская_область,2015,250961,Центральный_федеральный_округ
Тульская_область,2016,297209,Центральный_федеральный_округ
Тульская_область,2017,336459,Центральный_федеральный_округ
Тульская_область,2018,400520,Центральный_федеральный_округ
Тульская_область,2019,458441,Центральный_федеральный_округ
Тульская_область,2020,301158,Центральный_федеральный_округ
Ярославская_область,2013,381601,Центральный_федеральный_округ
Ярославская_область,2014,396524,Центральный_федеральный_округ
Ярославская_область,2015,633984,Центральный_федеральный_округ
Ярославская_область,2016,621574,Центральный_федеральный_округ
Ярославская_область,2017,709543,Центральный_федеральный_округ
Ярославская_область,2018,716852,Центральный_федеральный_округ
Ярославская_область,2019,819564,Центральный_федеральный_округ
Ярославская_область,2020,592246,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2013,3547083,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2014,3768943,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2015,3776752,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2016,7043836,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2017,7611660,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2018,9682050,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2019,10388303,Центральный_федеральный_округ
Город_Москва_столица_Российской_Федерации_город_федерального_значения,2020,6232571,Центральный_федеральный_округ
Республика_Башкортостан,2013,864008,Приволжский_федеральный_округ
Республика_Башкортостан,2014,808038,Приволжский_федеральный_округ
Республика_Башкортостан,2015,843985,Приволжский_федеральный_округ
Республика_Башкортостан,2016,988686,Приволжский_федеральный_округ
Республика_Башкортостан,2017,1087550,Приволжский_федеральный_округ
Республика_Башкортостан,2018,1145057,Приволжский_федеральный_округ
Республика_Башкортостан,2019,1239294,Приволжский_федеральный_округ
Республика_Башкортостан,2020,884279,Приволжский_федеральный_округ
Республика_Марий_Эл,2013,100859,Приволжский_федеральный_округ
Республика_Марий_Эл,2014,88486,Приволжский_федеральный_округ
Республика_Марий_Эл,2015,109511,Приволжский_федеральный_округ
Республика_Марий_Эл,2016,123635,Приволжский_федеральный_округ
Республика_Марий_Эл,2017,125068,Приволжский_федеральный_округ
Республика_Марий_Эл,2018,134411,Приволжский_федеральный_округ
Республика_Марий_Эл,2019,138398,Приволжский_федеральный_округ
