,Область,Округ,Год,Кол-во
0,        Белгородская область,Центральный федеральный округ,01.01.2016,37568.0
1,        Брянская область,Центральный федеральный округ,01.01.2016,13415.0
2,        Владимирская область,Центральный федеральный округ,01.01.2016,66342.0
3,        Воронежская область,Центральный федеральный округ,01.01.2016,73521.0
4,        Ивановская область,Центральный федеральный округ,01.01.2016,61345.0
5,        Калужская область,Центральный федеральный округ,01.01.2016,79564.0
6,        Костромская область,Центральный федеральный округ,01.01.2016,41147.0
7,        Курская область,Центральный федеральный округ,01.01.2016,86801.0
8,        Липецкая область,Центральный федеральный округ,01.01.2016,9319.0
9,        Московская область,Центральный федеральный округ,01.01.2016,648561.0
10,        Орловская область,Центральный федеральный округ,01.01.2016,21770.0
11,        Рязанская область,Центральный федеральный округ,01.01.2016,61461.0
12,        Смоленская область,Центральный федеральный округ,01.01.2016,33919.0
13,        Тамбовская область,Центральный федеральный округ,01.01.2016,22234.0
14,        Тверская область,Центральный федеральный округ,01.01.2016,113450.0
15,        Тульская область,Центральный федеральный округ,01.01.2016,50998.0
16,        Ярославская область,Центральный федеральный округ,01.01.2016,176510.0
17,        Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,01.01.2016,919923.0
18,        Республика Карелия,Северо-Западный федеральный округ,01.01.2016,92649.0
19,        Республика Коми,Северо-Западный федеральный округ,01.01.2016,34066.0
20,        Архангельская область,Северо-Западный федеральный округ,01.01.2016,74513.0
21,        Вологодская область,Северо-Западный федеральный округ,01.01.2016,147971.0
22,        Калининградская область,Северо-Западный федеральный округ,01.01.2016,159206.0
23,        Ленинградская область,Северо-Западный федеральный округ,01.01.2016,66329.0
24,        Мурманская область,Северо-Западный федеральный округ,01.01.2016,50865.0
25,        Новгородская область,Северо-Западный федеральный округ,01.01.2016,71089.0
26,        Псковская область,Северо-Западный федеральный округ,01.01.2016,49335.0
27,        Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,01.01.2016,353200.0
28,        Республика Адыгея (Адыгея),Южный федеральный округ,01.01.2016,77311.0
29,        Республика Калмыкия,Южный федеральный округ,01.01.2016,2195.0
30,        Республика Крым,Южный федеральный округ,01.01.2016,83665.0
31,        Краснодарский край,Южный федеральный округ,01.01.2016,689618.0
32,        Астраханская область,Южный федеральный округ,01.01.2016,38739.0
33,        Волгоградская область,Южный федеральный округ,01.01.2016,53797.0
34,        Ростовская область,Южный федеральный округ,01.01.2016,93977.0
35,        Город федерального значения Севастополь,Южный федеральный округ,01.01.2016,5873.0
36,        Республика Дагестан,Северо-Кавказский федеральный округ,01.01.2016,16206.0
37,        Республика Ингушетия,Северо-Кавказский федеральный округ,01.01.2016,514.0
38,        Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,01.01.2016,30125.0
39,        Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,01.01.2016,45900.0
40,        Республика Северная Осетия-Алания,Северо-Кавказский федеральный округ,01.01.2016,8980.0
41,        Чеченская Республика,Северо-Кавказский федеральный округ,01.01.2016,3436.0
42,        Ставропольский край,Северо-Кавказский федеральный округ,01.01.2016,178252.0
43,        Республика Башкортостан,Приволжский федеральный округ,01.01.2016,184518.0
44,        Республика Марий Эл,Приволжский федеральный округ,01.01.2016,15351.0
45,        Республика Мордовия,Приволжский федеральный округ,01.01.2016,17458.0
46,        Республика Татарстан (Татарстан),Приволжский федеральный округ,01.01.2016,369863.0
47,        Удмуртская Республика,Приволжский федеральный округ,01.01.2016,59019.0
48,        Чувашская Республика - Чувашия,Приволжский федеральный округ,01.01.2016,53074.0
49,        Пермский край,Приволжский федеральный округ,01.01.2016,151084.0
50,        Кировская область,Приволжский федеральный округ,01.01.2016,73782.0
51,        Нижегородская область,Приволжский федеральный округ,01.01.2016,226426.0
52,        Оренбургская область,Приволжский федеральный округ,01.01.2016,69775.0
53,        Пензенская область,Приволжский федеральный округ,01.01.2016,23720.0
54,        Самарская область,Приволжский федеральный округ,01.01.2016,116500.0
55,        Саратовская область,Приволжский федеральный округ,01.01.2016,49498.0
56,        Ульяновская область,Приволжский федеральный округ,01.01.2016,63723.0
57,        Курганская область,Уральский федеральный округ,01.01.2016,25512.0
58,        Свердловская область,Уральский федеральный округ,01.01.2016,228001.0
59,        Тюменская область,Уральский федеральный округ,01.01.2016,247620.0
60,        Челябинская область,Уральский федеральный округ,01.01.2016,164625.0
61,        Республика Алтай,Сибирский федеральный округ,01.01.2016,14888.0
62,        Республика Тыва,Сибирский федеральный округ,01.01.2016,4778.0
63,        Республика Хакасия,Сибирский федеральный округ,01.01.2016,35748.0
64,        Алтайский край,Сибирский федеральный округ,01.01.2016,118954.0
65,        Красноярский край,Сибирский федеральный округ,01.01.2016,169676.0
66,        Иркутская область,Сибирский федеральный округ,01.01.2016,205241.0
67,        Кемеровская область - Кузбасс,Сибирский федеральный округ,01.01.2016,101388.0
68,        Новосибирская область,Сибирский федеральный округ,01.01.2016,96399.0
69,        Омская область,Сибирский федеральный округ,01.01.2016,249344.0
70,        Томская область,Сибирский федеральный округ,01.01.2016,32167.0
