,Область,Округ,Год,Кол-во
0,        Белгородская область,Центральный федеральный округ,2013,156801.0
1,        Брянская область,Центральный федеральный округ,2013,113056.0
2,        Владимирская область,Центральный федеральный округ,2013,357276.0
3,        Воронежская область,Центральный федеральный округ,2013,247380.0
4,        Ивановская область,Центральный федеральный округ,2013,182692.0
5,        Калужская область,Центральный федеральный округ,2013,319802.0
6,        Костромская область,Центральный федеральный округ,2013,184474.0
7,        Курская область,Центральный федеральный округ,2013,118218.0
8,        Липецкая область,Центральный федеральный округ,2013,131758.0
9,        Московская область,Центральный федеральный округ,2013,2580539.0
10,        Орловская область,Центральный федеральный округ,2013,115229.0
11,        Рязанская область,Центральный федеральный округ,2013,189005.0
12,        Смоленская область,Центральный федеральный округ,2013,164103.0
13,        Тамбовская область,Центральный федеральный округ,2013,99045.0
14,        Тверская область,Центральный федеральный округ,2013,321588.0
15,        Тульская область,Центральный федеральный округ,2013,208619.0
16,        Ярославская область,Центральный федеральный округ,2013,381601.0
17,        Город Москва столица Российской Федерации город федерального значения,Центральный федеральный округ,2013,3547083.0
18,        Республика Карелия,Северо-Западный федеральный округ,2013,227849.0
19,        Республика Коми,Северо-Западный федеральный округ,2013,197646.0
20,        Архангельская область,Северо-Западный федеральный округ,2013,272495.0
21,        Вологодская область,Северо-Западный федеральный округ,2013,292970.0
22,        Калининградская область,Северо-Западный федеральный округ,2013,237906.0
23,        Ленинградская область,Северо-Западный федеральный округ,2013,333456.0
24,        Мурманская область,Северо-Западный федеральный округ,2013,186722.0
25,        Новгородская область,Северо-Западный федеральный округ,2013,251800.0
26,        Псковская область,Северо-Западный федеральный округ,2013,247284.0
27,        Город Санкт-Петербург город федерального значения,Северо-Западный федеральный округ,2013,1803787.0
28,        Республика Адыгея (Адыгея),Южный федеральный округ,2013,45954.0
29,        Республика Калмыкия,Южный федеральный округ,2013,35523.0
30,        Республика Крым,Южный федеральный округ,2013,
31,        Краснодарский край,Южный федеральный округ,2013,2463215.0
32,        Астраханская область,Южный федеральный округ,2013,168793.0
33,        Волгоградская область,Южный федеральный округ,2013,332153.0
34,        Ростовская область,Южный федеральный округ,2013,635907.0
35,        Город федерального значения Севастополь,Южный федеральный округ,2013,
36,        Республика Дагестан,Северо-Кавказский федеральный округ,2013,79056.0
37,        Республика Ингушетия,Северо-Кавказский федеральный округ,2013,5635.0
38,        Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,2013,85479.0
39,        Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,2013,86015.0
40,        Республика Северная Осетия-Алания,Северо-Кавказский федеральный округ,2013,52124.0
41,        Чеченская Республика,Северо-Кавказский федеральный округ,2013,24290.0
42,        Ставропольский край,Северо-Кавказский федеральный округ,2013,769880.0
43,        Республика Башкортостан,Приволжский федеральный округ,2013,864008.0
44,        Республика Марий Эл,Приволжский федеральный округ,2013,100859.0
45,        Республика Мордовия,Приволжский федеральный округ,2013,91878.0
46,        Республика Татарстан (Татарстан),Приволжский федеральный округ,2013,1271662.0
47,        Удмуртская Республика,Приволжский федеральный округ,2013,260810.0
48,        Чувашская Республика - Чувашия,Приволжский федеральный округ,2013,202368.0
49,        Пермский край,Приволжский федеральный округ,2013,481622.0
50,        Кировская область,Приволжский федеральный округ,2013,205141.0
51,        Нижегородская область,Приволжский федеральный округ,2013,712278.0
52,        Оренбургская область,Приволжский федеральный округ,2013,373368.0
53,        Пензенская область,Приволжский федеральный округ,2013,140434.0
54,        Самарская область,Приволжский федеральный округ,2013,640923.0
55,        Саратовская область,Приволжский федеральный округ,2013,299709.0
56,        Ульяновская область,Приволжский федеральный округ,2013,205842.0
57,        Курганская область,Уральский федеральный округ,2013,109888.0
58,        Свердловская область,Уральский федеральный округ,2013,1058090.0
59,        Тюменская область,Уральский федеральный округ,2013,1104715.0
60,        Челябинская область,Уральский федеральный округ,2013,706494.0
61,        Республика Алтай,Сибирский федеральный округ,2013,95073.0
62,        Республика Тыва,Сибирский федеральный округ,2013,56894.0
63,        Республика Хакасия,Сибирский федеральный округ,2013,80769.0
64,        Алтайский край,Сибирский федеральный округ,2013,487829.0
65,        Красноярский край,Сибирский федеральный округ,2013,505379.0
66,        Иркутская область,Сибирский федеральный округ,2013,543399.0
67,        Кемеровская область - Кузбасс,Сибирский федеральный округ,2013,328680.0
68,        Новосибирская область,Сибирский федеральный округ,2013,621040.0
69,        Омская область,Сибирский федеральный округ,2013,403825.0
70,        Томская область,Сибирский федеральный округ,2013,150172.0
71,        Республика Бурятия,Дальневосточный федеральный округ,2013,356151.0
72,        Забайкальский край,Дальневосточный федеральный округ,2013,238113.0
73,        Республика Саха (Якутия),Дальневосточный федеральный округ,2013,142061.0
74,        Камчатский край,Дальневосточный федеральный округ,2013,70468.0
75,        Приморский край,Дальневосточный федеральный округ,2013,496425.0
76,        Хабаровский край,Дальневосточный федеральный округ,2013,384616.0
77,        Амурская область,Дальневосточный федеральный округ,2013,249787.0
78,        Магаданская область,Дальневосточный федеральный округ,2013,56264.0
79,        Сахалинская область,Дальневосточный федеральный округ,2013,159776.0
80,        Еврейская автономная область,Дальневосточный федеральный округ,2013,22743.0
81,        Чукотский автономный округ,Дальневосточный федеральный округ,2013,26819.0
82,        Белгородская область,Центральный федеральный округ,2014,171668.0
83,        Брянская область,Центральный федеральный округ,2014,125824.0
